#mpa_vOct22_CHOCOPhlAnSGB_202212																			
clade_name	ETV364_1_filtered.fastqd_metagenome	ETV364_12_filtered.fastqd_metagenome	ETV364_15_filtered.fastqd_metagenome	ETV364_16_filtered.fastqd_metagenome	ETV364_17_filtered.fastqd_metagenome	ETV364_20_filtered.fastqd_metagenome	ETV364_21_filtered.fastqd_metagenome	ETV364_29_filtered.fastqd_metagenome	ETV364_3_filtered.fastqd_metagenome	ETV364_30_filtered.fastqd_metagenome	ETV364_32_filtered.fastqd_metagenome	ETV364_33_filtered.fastqd_metagenome	ETV364_35_filtered.fastqd_metagenome	ETV364_36_filtered.fastqd_metagenome	ETV364_37_filtered.fastqd_metagenome	ETV364_38_filtered.fastqd_metagenome	ETV364_50_filtered.fastqd_metagenome	ETV364_7_filtered.fastqd_metagenome	ETV364_8_filtered.fastqd_metagenome
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	0.21893	1.61499	0.68829	0.44597	0.97976	0.25116	0.12043	0.23748	1.55637	0.88169	0.20323	0.55382	0.67173	1.08695	0.51827	0.33707	0.20957	2.19293	1.36146
k__Bacteria|p__Bacteria_unclassified|c__CFGB76138|o__OFGB76138	0.16844	0.09477	0.03174	0.06756	0.0274	0.08786	0.0396	0.02791	0.08374	0.12644	0.03264	0.00473	0.1413	0.11836	0.06426	0.14159	0.07997	0.09129	0.03702
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified	0.16646	0.14944	0.52823	0.3097	1.01079	0.54232	0.45701	0.59597	0.51842	0.2212	0.37234	0.61987	0.69014	0.40328	0.10971	0.69863	0.17935	0.19008	0.60845
k__Bacteria|p__Firmicutes|c__CFGB72709|o__OFGB72709	0.14001	0.40496	1.2279	0.14628	0.4133	0.35728	1.60466	0.8878	0.9005	0.21097	0.92293	1.66421	1.1855	1.06267	0.44158	1.07683	0.60196	0.57312	1.16825
k__Bacteria|p__Firmicutes|c__CFGB9644|o__OFGB9644	0.08212	0.11294	0	0.12303	0.00293	0.01072	0.0422	0.00086	0.00061	0.23359	0.10783	0	0.11232	0.01561	0.49333	0.00666	0.13658	0.23778	0.00781
k__Bacteria|p__Firmicutes|c__CFGB76322|o__OFGB76322	0.05773	0.04322	0.04969	0.00391	0.03375	0.02159	0.1226	0.03411	0.0267	0.00226	0	0.03306	0.08411	0.03028	0.04137	0.12194	0.15028	0.04136	0.00504
k__Bacteria|p__Firmicutes|c__CFGB76576|o__OFGB76576	0.0501	0	0.03782	0	0	0	0	0.00526	0.03416	0	0	0.01248	0.04632	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB75925|o__OFGB75925	0.02813	0	0	0	0	0	0	0	0	0.00735	0.19752	0	0	0	0	0	0.36001	0	0
k__Bacteria|p__Bacteria_unclassified|c__CFGB76313|o__OFGB76313	0.02698	0.04324	0.02162	0	0	0	0	0	0	0.09417	0.0431	0	0.04027	0.03258	0.04318	0.00612	0.14543	0.05687	0
k__Bacteria|p__Firmicutes|c__CFGB9827|o__OFGB9827	0.02408	0.07135	0.09514	0.04275	0.04329	0.04806	0.17514	0.19091	0.1604	0	0.07749	0.122	0.07971	0.09225	0.07182	0.02566	0.02991	0.0352	0.09273
